user_name,anime_id,title,url,score
mattslist,50330,Bungo Stray Dogs 4,https://myanimelist.net/anime/50330/Bungou_Stray_Dogs_4th_Season,8
mattslist,54898,Bungo Stray Dogs 5,https://myanimelist.net/anime/54898/Bungou_Stray_Dogs_5th_Season,8
mattslist,50346,Call of the Night,https://myanimelist.net/anime/50346/Yofukashi_no_Uta,8
mattslist,44511,Chainsaw Man,https://myanimelist.net/anime/44511/Chainsaw_Man,7
mattslist,28999,Charlotte,https://myanimelist.net/anime/28999/Charlotte,7
mattslist,10800,Chihayafuru,https://myanimelist.net/anime/10800/Chihayafuru,9
mattslist,14397,Chihayafuru 2,https://myanimelist.net/anime/14397/Chihayafuru_2,10
mattslist,37379,Chihayafuru 3,https://myanimelist.net/anime/37379/Chihayafuru_3,10
mattslist,30296,Chivalry of a Failed Knight,https://myanimelist.net/anime/30296/Rakudai_Kishi_no_Cavalry,6
mattslist,35507,Classroom of the Elite,https://myanimelist.net/anime/35507/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e,7
mattslist,51096,Classroom of the Elite II,https://myanimelist.net/anime/51096/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e_2nd_Season,7
mattslist,51180,Classroom of the Elite III,https://myanimelist.net/anime/51180/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e_3rd_Season,6
mattslist,34825,Clean Freak! Aoyama-kun,https://myanimelist.net/anime/34825/Keppeki_Danshi_Aoyama-kun,4
mattslist,34437,Code Geass: Lelouch of the Re;surrection,https://myanimelist.net/anime/34437/Code_Geass__Fukkatsu_no_Lelouch,2
mattslist,1575,Code Geass: Lelouch of the Rebellion,https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch,9
mattslist,2904,Code Geass: Lelouch of the Rebellion R2,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2,9
mattslist,5941,Cross Game,https://myanimelist.net/anime/5941/Cross_Game,7
mattslist,42310,Cyberpunk: Edgerunners,https://myanimelist.net/anime/42310/Cyberpunk__Edgerunners,8
mattslist,11843,Daily Lives of High School Boys,https://myanimelist.net/anime/11843/Danshi_Koukousei_no_Nichijou,7
mattslist,57334,Dan Da Dan,https://myanimelist.net/anime/57334/Dandadan,8
mattslist,35849,DARLING in the FRANXX,https://myanimelist.net/anime/35849/Darling_in_the_FranXX,7
mattslist,15583,Date A Live,https://myanimelist.net/anime/15583/Date_A_Live,4
mattslist,6880,Deadman Wonderland,https://myanimelist.net/anime/6880/Deadman_Wonderland,5
mattslist,1535,Death Note,https://myanimelist.net/anime/1535/Death_Note,9
mattslist,28223,Death Parade,https://myanimelist.net/anime/28223/Death_Parade,6
mattslist,38000,Demon Slayer: Kimetsu no Yaiba,https://myanimelist.net/anime/38000/Kimetsu_no_Yaiba,8
mattslist,40456,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,https://myanimelist.net/anime/40456/Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen,8
mattslist,47778,Demon Slayer: Kimetsu no Yaiba Entertainment District Arc,https://myanimelist.net/anime/47778/Kimetsu_no_Yaiba__Yuukaku-hen,9
mattslist,55701,Demon Slayer: Kimetsu no Yaiba Hashira Training Arc,https://myanimelist.net/anime/55701/Kimetsu_no_Yaiba__Hashira_Geiko-hen,8
mattslist,51019,Demon Slayer: Kimetsu no Yaiba Swordsmith Village Arc,https://myanimelist.net/anime/51019/Kimetsu_no_Yaiba__Katanakaji_no_Sato-hen,8
